,0
0,taisto
1,kasurinen
2,finnish
3,coal
4,miner
5,father
6,just
7,committed
8,suicide
9,framed
10,crime
11,did
12,commit
13,jail
14,starts
15,dream
16,leaving
17,country
18,starting
19,new
20,life
21,escapes
22,prison
23,things
24,don
25,planned
26,episode
27,nikander
28,garbage
29,man
30,involving
31,death
32,worker
33,affair
34,ted
35,bellhop
36,night
37,joband
38,hotel
39,unusual
40,guests
41,place
42,outrageous
43,predicaments
44,evening
45,room
46,service
47,serving
48,unbelievable
49,happening
50,racing
51,boxing
52,match
53,frank
54,mike
55,john
56,rey
57,bargained
58,wrong
59,turn
60,lands
61,directly
62,path
63,fallon
64,vicious
65,wise
66,cracking
67,drug
68,lord
69,accidentally
70,witnessing
71,murder
72,disloyal
73,henchman
74,unwilling
75,prey
76,savage
77,game
78,cat
79,amp
80,mouse
81,mercilessly
82,stalked
83,urban
84,jungle
85,taut
86,suspense
87,drama
88,princess
89,leia
90,captured
91,held
92,hostage
93,evil
94,imperial
95,forces
96,effort
97,galactic
98,empire
99,venturesome
100,luke
101,skywalker
102,dashing
103,captain
104,han
105,solo
106,team
107,loveable
108,robot
109,duo
110,r2
111,d2
112,3po
113,rescue
114,beautiful
115,restore
116,peace
117,justice
118,nemo
119,adventurous
120,young
121,clownfish
122,unexpectedly
123,taken
124,great
125,barrier
126,reef
127,home
128,dentist
129,office
130,aquarium
131,worrisome
132,marlin
133,friendly
134,forgetful
135,fish
136,dory
137,bring
138,meeting
139,vegetarian
140,sharks
141,surfer
142,dude
143,turtles
144,hypnotic
145,jellyfish
146,hungry
147,seagulls
148,way
149,low
150,iq
151,accomplished
152,present
153,significant
154,historic
155,events
156,case
157,far
158,exceeding
159,imagined
160,despite
161,attained
162,true
163,love
164,eludes
165,forrest
166,gump
167,story
168,rose
169,challenges
170,proved
171,determination
172,courage
173,important
174,ability
175,lester
176,burnham
177,depressed
178,suburban
179,mid
180,crisis
181,decides
182,hectic
183,developing
184,infatuation
185,daughter
186,attractive
187,friend
188,newspaper
189,magnate
190,charles
191,foster
192,kane
193,mother
194,boy
195,ward
196,rich
197,industrialist
198,result
199,meaning
200,tyrannical
201,self
202,destructive
203,makes
204,rest
205,appears
206,reaction
207,deeply
208,wounding
209,event
210,selma
211,czech
212,immigrant
213,verge
214,blindness
215,struggles
216,make
217,ends
218,meet
219,son
220,inherited
221,genetic
222,disorder
223,suffer
224,fate
225,expensive
226,operation
227,gets
228,difficult
229,learns
230,cope
231,musicals
232,escaping
233,troubles
234,moment
235,dreaming
236,little
237,numbers
238,rhythmic
239,beats
240,surroundings
241,adèle
242,sarah
243,traveling
244,welsh
245,coastline
246,husband
247,james
248,disappears
249,different
250,similar
251,looking
252,girl
253,says
254,died
255,past
256,time
257,tries
258,discover
259,happened
260,tormented
261,celtic
262,mythology
263,2257
264,taxi
265,driver
266,unintentionally
267,given
268,task
269,saving
270,key
271,ensure
272,survival
273,humanity
274,futuristic
275,city
276,sharply
277,divided
278,working
279,class
280,planners
281,mastermind
282,falls
283,prophet
284,predicts
285,coming
286,savior
287,mediate
288,differences
289,pedro
290,almodovar
291,production
292,fatally
293,ill
294,months
295,live
296,creates
297,list
298,wants
299,dies
300,telling
301,family
302,illness
303,endless
304,summer
305,bruce
306,brown
307,influential
308,surf
309,movies
310,times
311,film
312,documents
313,american
314,surfers
315,hynson
316,robert
317,august
318,travel
319,world
320,california
321,winter
322,1965
323,season
324,surfing
325,search
326,perfect
327,wave
328,jack
329,sparrow
330,freewheeling
331,17th
332,century
333,pirate
334,roams
335,caribbean
336,sea
337,butts
338,heads
339,rival
340,bent
341,pillaging
342,village
343,port
344,royal
345,governor
346,kidnapped
347,help
348,save
349,seafaring
350,mission
351,hardly
352,simple
353,assassin
354,shot
355,altar
356,ruthless
357,employer
358,members
359,assassination
360,circle
361,bride
362,lives
363,plot
364,vengeance
365,setting
366,payback
367,hunts
368,wronged
